rep,seed,sx2,trunc,lam_mean,lam_min,lam_max,meff_mean,cens
62,66345,0.030947170150285586,0,0.7990139484426682,0.5991726333567666,0.9326244702034986,26.916330744615365,0.42000000000000004
63,67345,0.039356389087760776,0,0.8289323304596452,0.6295268052613198,0.9686705195952479,25.918652216427983,0.38
64,68345,0.027895963676488222,0,0.7636337251003321,0.5599158970660557,0.9646050096746308,26.806262778875194,0.48
65,69345,0.04220390895940206,0,0.849039968473073,0.6689304878676494,0.9686194773877478,28.00040986567131,0.45999999999999996
66,70345,0.028425852200989372,0,0.7922793370760168,0.6155531926730692,0.9484479299075584,27.368746367536183,0.5
67,71345,0.04210143590343819,0,0.8620231246949532,0.7007061995145255,0.9724519273540988,27.47745811515892,0.36
68,72345,0.024201604135284764,0,0.7420562153750809,0.5324954615950033,0.9213930005033791,25.47251278069441,0.43999999999999995
69,73345,0.027497732332103404,0,0.7771745151775815,0.6112585764632248,0.9547508992757534,27.606604624843758,0.54
70,74345,0.04346887664987328,0,0.8419027998313335,0.6440812286998379,0.9894799813872618,27.246634275144935,0.42000000000000004
71,75345,0.04009111523665992,0,0.8415627804732635,0.6379798097106567,0.9791205999890977,28.733260218256433,0.48
72,76345,0.026495697857134976,0,0.7866924050306594,0.5810359521725753,0.9321265871237787,29.26181817907757,0.42000000000000004
73,77345,0.02130116821833593,0,0.7502933716966284,0.5475354199124023,0.9482467624793465,28.120899412817543,0.48
74,78345,0.031324728362798565,0,0.7959213127108576,0.5927572191036788,0.9631461207694403,26.18940287728856,0.31999999999999995
75,79345,0.026338679610177912,0,0.7649007302099541,0.5723545945519034,0.9720693945855584,25.60191175135507,0.4
76,80345,0.03583963232310305,0,0.8186109002136004,0.5762196502992223,0.9706903539978832,28.018307372811627,0.33999999999999997
77,81345,0.02884749524225893,0,0.7908504451578782,0.5890858116751115,0.9900920279971915,29.791641517612607,0.48
78,82345,0.027528987410690244,0,0.7673309893825478,0.5968601406452678,0.9250901985757343,26.572565878308446,0.45999999999999996
79,83345,0.03964938152863512,0,0.8323862465860935,0.6505349718707475,0.9863388806193423,27.953308586290973,0.33999999999999997
80,84345,0.026861253736297993,0,0.7575648456753074,0.43171184742678004,0.9525295826658049,25.32435779863408,0.45999999999999996
81,85345,0.03272299616473048,0,0.8176066016102745,0.5457946919480335,0.9937935351784639,29.807239874828095,0.38
82,86345,0.02636211971890183,0,0.752369326530343,0.4337954018648805,0.9320559105327713,24.84445324541822,0.45999999999999996
83,87345,0.022956299249305732,0,0.7406284472286637,0.42130680117497693,0.9039366019129689,28.030885334679468,0.43999999999999995
84,88345,0.03280572427658299,0,0.8003793510664673,0.6582213247745348,0.9821233795779286,25.055255917572737,0.45999999999999996
85,89345,0.038587367040560754,0,0.8350012195245107,0.6747708984090045,0.9565734550749381,28.15749104253681,0.36
86,90345,0.03953414202552069,0,0.8401476707329526,0.6313616301667914,0.9275873578883442,28.936834442799054,0.36
87,91345,0.03939003572411308,0,0.8356131507846598,0.6518211075259274,0.9787751653354959,27.95468954011155,0.56
88,92345,0.03265924140081273,0,0.8128387493655975,0.61379346465308,0.9534298367902972,28.695228570871663,0.4
89,93345,0.037580620068128665,0,0.8375684062348983,0.6560851929801597,0.9872662268613274,30.144164981236838,0.42000000000000004
90,94345,0.03675303995609573,0,0.8332208471475832,0.6397985586978637,0.9824475710963049,28.07624202239567,0.43999999999999995
91,95345,0.04176673889816524,0,0.8578500970831621,0.665593423355836,0.9653075892041152,28.730562815853702,0.33999999999999997
92,96345,0.032612383980654434,0,0.8034501819308546,0.5654798185672426,0.9653643294459525,28.174940127633423,0.45999999999999996
93,97345,0.03938822136634966,0,0.8375309110560465,0.6377404219149694,0.9688414290790721,27.981756306623126,0.4
94,98345,0.01809017117023034,0,0.697938517394626,0.4054850393407628,0.8962474078036748,29.356243823630944,0.48
95,99345,0.04014772606435734,0,0.8517896109675752,0.6552583763369739,0.9815215786356889,29.94220899522519,0.42000000000000004
96,100345,0.02760589595411622,0,0.7884985554358996,0.6152769499344658,0.9706286107826754,27.572481690420883,0.42000000000000004
97,101345,0.027199575529037918,0,0.7791433232738619,0.5462396459131464,0.9531346120710856,26.762272371966645,0.48
98,102345,0.02072796036958135,0,0.750258364663669,0.5778909271202346,0.9375537894892664,30.04056739793386,0.45999999999999996
99,103345,0.043482685975766974,0,0.8488733097448367,0.6708784759626458,0.9792943497000876,26.307964899120428,0.42000000000000004
100,104345,0.028594239386599243,0,0.7844952544742747,0.5966440012990972,0.9579508200870581,26.88791187682638,0.52
101,105345,0.030293545620279083,0,0.7824440971147751,0.501617193950326,0.933421305571553,26.851613341608257,0.42000000000000004
102,106345,0.023710241229908086,0,0.7388875256115339,0.5145598728660531,0.95523059987673,26.975968461618592,0.5800000000000001
103,107345,0.043324140526304,0,0.8524717169876673,0.7218342171498489,0.9546816931940261,28.577915595690218,0.42000000000000004
104,108345,0.039880948837976694,0,0.8491837778669711,0.6557873088142188,0.9913329074083648,30.09828172761505,0.36
105,109345,0.0194095667368211,0,0.7476974178012512,0.5294062175826353,0.9698227044708577,29.990634095181658,0.4
106,110345,0.03911595749987856,0,0.8364720202631775,0.6406885612430432,0.976082469821469,27.750137827547345,0.45999999999999996
107,111345,0.04604656863873847,0,0.8606015993333593,0.6513629899604112,0.9679654584521868,26.902044800957597,0.42000000000000004
108,112345,0.029424347690376322,0,0.8079845773387963,0.576356503169159,0.9379404069485893,31.73685595369618,0.52
109,113345,0.027921556347376322,0,0.7618017731364639,0.5292580031815344,0.9346275030751864,25.60090331114758,0.42000000000000004
110,114345,0.035512552191234836,0,0.8294769719733824,0.6611208317261625,0.9647855180511478,28.356584490620683,0.38
111,115345,0.031736517164126364,0,0.8044690560463844,0.5388388115105708,0.9700674973229018,28.015492313982094,0.38
112,116345,0.032766216273566955,0,0.8179859981452844,0.6415867991971418,0.9566679987219284,28.22959330627616,0.42000000000000004
113,117345,0.04386739467551916,0,0.8475282374751575,0.6709690085294098,0.9766212507320123,26.21627332778722,0.38
114,118345,0.03358727967060337,0,0.8075331830832071,0.43390263757316083,0.9658787055227089,28.317732371008432,0.48
115,119345,0.04122519802086746,0,0.8396954472124096,0.6750452733212944,0.9608477427670503,25.914701642259548,0.54
116,120345,0.03150840304586572,0,0.8073096157576817,0.5721249714708343,0.9526355260316609,29.936228218698435,0.21999999999999997
117,121345,0.024097563673618046,0,0.7593233282337458,0.4292099498764983,0.9423935312767195,27.825463204008066,0.31999999999999995
118,122345,0.02685316158033439,0,0.794974429115111,0.5145922944158697,0.9762217741909254,30.006493759160197,0.43999999999999995
119,123345,0.03851678180822159,0,0.8306388622038452,0.5556462603305583,0.9742628285054965,26.812177553819215,0.38
120,124345,0.02564965300621238,0,0.7526493630345072,0.47638970890518,0.960185263720658,26.243262316344097,0.45999999999999996
121,125345,0.033722069264778956,0,0.8085433961131726,0.5943109835852097,0.9608737668794348,25.338592250411843,0.5800000000000001
122,126345,0.022117394267058263,0,0.7248797121002436,0.4964782325594136,0.8838661291201546,27.005007902374917,0.38
123,127345,0.035087563734878424,0,0.8337250924042536,0.6957278692696465,0.9566094291296174,29.29807738571102,0.45999999999999996
124,128345,0.01896615593296195,0,0.7081252174503835,0.46085546347741607,0.8681770455758836,27.914492681887836,0.38
125,129345,0.022882454082991374,0,0.7556588157172272,0.5053131071718023,0.9497592842344554,28.503450364256178,0.45999999999999996
126,130345,0.035519709736191285,0,0.8320375054781232,0.5946400958373896,0.9856540632344577,27.185859606087234,0.45999999999999996
127,131345,0.03881721473404554,0,0.8422871503596545,0.6626800826311644,0.9975739853411999,28.990098381248544,0.48
128,132345,0.029379692990430115,0,0.782818271165831,0.5400309921466572,0.9719502269933077,26.28016943252562,0.43999999999999995
129,133345,0.02599822904950857,0,0.773273854924452,0.535883718706557,0.9345711398220696,28.14964688418511,0.36
130,134345,0.03497644595028576,0,0.8312545710132203,0.637146096827108,0.9799646329592745,28.084649577300638,0.38
131,135345,0.03214119194448763,0,0.7987770467492639,0.5814057206899069,0.980023086132896,26.460754932184035,0.48
132,136345,0.035026462012645435,0,0.8286389994927841,0.6746043261126466,0.9744610777500982,26.076249008281398,0.43999999999999995
133,137345,0.025668689890205744,0,0.7721424989119136,0.48185072124225803,0.9860086717393621,27.429832804336925,0.4
134,138345,0.0346008594944969,0,0.8200559708240714,0.5887561391794472,0.9595483145728884,27.725816142412203,0.38
135,139345,0.02915708311472258,0,0.7805582395390683,0.534819126134688,0.9768633718088775,27.00453455713947,0.52
136,140345,0.027279931338186507,0,0.7842232106549012,0.560921303634005,0.94492207556584,27.19516108646747,0.43999999999999995
137,141345,0.030936872693837304,0,0.7919990274470479,0.6076545384259364,0.9751139238407499,25.725464395672848,0.36
138,142345,0.023796518083088178,0,0.7617406751099693,0.4400815101592541,0.9516400029858316,29.087725848401227,0.38
139,143345,0.0482419129142534,0,0.8614035678654731,0.674441417794039,0.9571682274538862,27.039516529489493,0.42000000000000004
140,144345,0.02902064857294628,0,0.7827063081221323,0.5771053428704334,0.9087493711503796,25.665834809245567,0.48
141,145345,0.0331735930562605,0,0.7956198372885374,0.6062430564141293,0.940486413860875,26.443889448731653,0.36
142,146345,0.041697017202627515,0,0.8516295854153582,0.5509844269613099,0.990476292387776,29.645960205731136,0.52
143,147345,0.04913454626344226,0,0.8825908822605341,0.7453971390051057,0.9955752021199481,28.314218445268725,0.38
144,148345,0.030183042028145198,0,0.7934116553440973,0.5205178818972546,0.9776891406969879,29.168372158844868,0.38
145,149345,0.043015254485303946,0,0.8518449622148521,0.7305675929483328,0.9795372613196668,29.50410573452784,0.42000000000000004
146,150345,0.028456308108312692,0,0.7593425847906581,0.5199035933118799,0.9316298279308164,24.86909684303787,0.6
147,151345,0.030195778428293272,0,0.7950851540123187,0.6571841548109636,0.9636665784253627,26.09429718656385,0.36
