rep,method,beta,ci_lo,ci_hi,p,div
52,Naive,-0.46941065925830544,-2.1933995870001333,1.2545782684835225,0.5935751607669634,0
52,StdRC,-0.5659843545885143,-2.644656283614248,1.5126875744372192,0.5935751607669634,0
52,GRC,-0.3936381738601049,-2.3054674811587024,1.5181911334384925,0.6865444574324528,0
52,Bayesian,-1.115964002876207,-2.67344149,0.30577091575000004,0.137,0
53,Oracle,0.1647328703658193,-2.29338010931864,2.6228458500502785,0.895499291879686,0
53,Naive,0.34377267196596817,-1.5564940910239742,2.2440394349559103,0.7229099918148028,0
53,StdRC,0.4366111420794258,-1.9768373641670147,2.8500596483258662,0.7229099918148032,0
53,GRC,0.14366368941499333,-2.046328863497116,2.3336562423271023,0.8976949014316856,0
53,Bayesian,-0.3766767859040025,-1.9576757274999999,1.0773723275000002,0.64,0
54,Oracle,-1.9677176136380206,-4.415659943303886,0.480224716027845,0.11514837924485602,0
54,Naive,-1.9492143761503657,-3.9315886922173826,0.03315993991665134,0.05395733722820966,0
54,StdRC,-2.3597309701001197,-4.759605568394958,0.04014362819471895,0.05395733722820966,0
54,GRC,-2.2031199597764357,-4.483721354977714,0.07748143542484298,0.05830789479356217,0
54,Bayesian,-2.0257835530009998,-3.754138995,-0.5031468972499996,0.0065,0
55,Oracle,0.4204723431295586,-1.7466962599736404,2.587640946232758,0.7037445076744331,0
55,Naive,0.2390699917114601,-1.40269742014442,1.88083740356734,0.7753339028227535,0
55,StdRC,0.3186028419690581,-1.8693411970334533,2.5065468809715696,0.7753339028227536,0
55,GRC,0.21581570685435922,-1.8520751593910076,2.283706573099726,0.8379222362390715,0
55,Bayesian,-0.355799300161215,-1.8683273224999999,1.081476100000002,0.627,0
56,Oracle,-1.5783185267963522,-4.353898930814678,1.1972618772219734,0.26505499575198305,0
56,Naive,-1.2850836055594828,-3.5657569556882063,0.9955897445692408,0.26943069992746105,0
56,StdRC,-1.7921293025207008,-4.9726706482834,1.3884120432419984,0.26943069992746105,0
56,GRC,-1.9050772965259433,-4.814128272009536,1.0039736789576494,0.19930300326368955,0
56,Bayesian,-1.7065618134891902,-3.4976203499999996,-0.06406699037499995,0.04,0
57,Oracle,-1.5839118817289162,-4.369187648234401,1.2013638847765695,0.26503081744119766,0
57,Naive,-2.142052675333728,-4.4083542438165955,0.12424889314913923,0.06395263698380595,0
57,StdRC,-2.770297974046518,-5.70128595396087,0.16069000586783355,0.06395263698380628,0
57,GRC,-2.3108235351330237,-4.927253698169887,0.3056066279038392,0.08344560969121911,0
57,Bayesian,-1.5078078442480352,-3.1558294225,0.07932783545000019,0.0615,0
58,Oracle,-1.6458241960344158,-4.048626905516696,0.7569785134478646,0.17943480534533238,0
58,Naive,-1.0848338978368264,-2.8111789151968996,0.6415111195232466,0.21808363702561503,0
58,StdRC,-1.560262404246898,-4.043178206119294,0.9226533976254983,0.21808363702561512,0
58,GRC,-1.5518497736732808,-3.8324717136052358,0.7287721662586741,0.1823159695120064,0
58,Bayesian,-1.355891303176375,-2.8433774125,-0.034622014449999974,0.0425,0
59,Oracle,-1.3420935260685196,-3.8257314121231274,1.1415443599860882,0.28954798967182366,0
59,Naive,-0.17432398096799243,-1.6758274765109071,1.3271795145749223,0.8199952638430882,0
59,StdRC,-0.21257933735695692,-2.0435874198322703,1.6184287451183563,0.819995263843088,0
59,GRC,-0.23422476687290897,-1.9644246901238365,1.4959751563780186,0.7907560741944247,0
59,Bayesian,-0.48121017623731405,-1.8856541775,0.8806976812500007,0.486,0
60,Oracle,0.6404962716641063,-1.9088421737647565,3.1898347170929693,0.6224212471725595,0
60,Naive,0.14238614237519728,-1.893327397609683,2.1780996823600773,0.8909613100658336,0
60,StdRC,0.21056423749123063,-2.7999005601853053,3.221029035167766,0.8909613100658338,0
60,GRC,-0.45870936240651194,-3.1166493689003287,2.1992306440873044,0.7351732055024474,0
60,Bayesian,-0.9867494107976824,-2.8204635750000002,0.711146771,0.27,0
61,Oracle,0.45038206663915026,-1.5006917588044109,2.401455892082711,0.6509561752091174,0
61,Naive,-0.024175319263323808,-1.7828900528754732,1.7345394143488255,0.9785062381710538,0
61,StdRC,-0.03354776717513349,-2.4740926786215236,2.4069971442712563,0.9785062381710535,0
61,GRC,-0.1597397526161338,-2.3919384471344243,2.0724589419021564,0.8884559925117489,0
61,Bayesian,-0.6315920171952699,-2.19791132,0.8327940685000004,0.3955,0
62,Oracle,-0.5521348145808086,-2.883626837025103,1.7793572078634856,0.64253956543849,0
