rep,method,beta,se,ci_lo,ci_hi,p,div
14,Bayesian,-1.7764218095134,0.8840844819969742,-3.7043629225,-0.12393531650000006,0.042,0
15,Oracle,-0.5787949095890816,1.2430191731407467,-3.015067721037703,1.8574779018595398,0.6414758200785801,0
15,Naive,0.3077855792179834,1.1570708718815175,-1.9600316572301502,2.575602815666117,0.7902360625183351,0
15,StdRC,0.32270050656706506,1.2131411661288953,-2.0550124872084923,2.700413500342622,0.7902360625183353,0
15,GRC,0.29401401689187634,1.2080432474231737,-2.073707239824354,2.661735273608106,0.8077107463775137,0
15,Bayesian,-0.9869471244295001,0.8321741624575144,-2.620985775,0.58846769675,0.25,0
16,Oracle,0.3457152146146097,1.359801060989242,-2.319445891063658,3.0108763202928777,0.7993104949621717,0
16,Naive,0.9800944064361939,1.3625860792741982,-1.6905252347768736,3.650714047649261,0.4719623168838427,0
16,StdRC,1.0600616567057568,1.473761351063934,-1.8284575131866447,3.9485808265981586,0.47196231688384305,0
16,GRC,1.0194607430754767,1.4573383250113916,-1.8368698872367788,3.8757913733877323,0.48421707147416393,0
16,Bayesian,0.18351162829813,0.9175598632229046,-1.556282835,2.021304405,0.85,0
17,Oracle,-1.2908434708374077,1.5052161147082255,-4.241012844614841,1.6593259029400251,0.3911243363232697,0
17,Naive,-1.0778086451916726,1.4246171306647217,-3.8700069130533197,1.7143896226699744,0.4493133833149472,0
17,StdRC,-1.1989773080634167,1.5847744587738561,-4.305078170879131,1.9071235547522978,0.44931338331494686,0
17,GRC,-1.2727825112391482,1.5523649172892868,-4.3153618399896505,1.7697968175113536,0.4122736619565802,0
17,Bayesian,-1.34897536940379,0.9528492975036944,-3.3026698275,0.36121700474999974,0.15,0
18,Oracle,-1.9088848125282214,0.9897847120922765,-3.84882720067743,0.031057575620986988,0.05378229427893365,0
18,Naive,-1.9346373873614706,0.9569033217568598,-3.810133434691659,-0.05914134003128235,0.043200230885862334,0
18,StdRC,-2.0261237621201222,1.002153980342261,-3.990309470554415,-0.061938053685829386,0.043200230885862334,0
18,GRC,-1.9917391148510148,0.991165086538802,-3.9343869872005928,-0.04909124250143693,0.0444848964419359,0
18,Bayesian,-1.3919150221611998,0.7688841976579528,-2.8938984725,0.19449174949999948,0.074,0
19,Oracle,-0.602289388078984,1.2150148193430432,-2.983674674673789,1.7790958985158212,0.6201022876505831,0
19,Naive,-0.18242801791969487,1.133578595100558,-2.404201237962301,2.0393452021229113,0.8721476897521219,0
19,StdRC,-0.1952334960041199,1.2131497926724293,-2.572963397494315,2.182496405486075,0.8721476897521214,0
19,GRC,-0.18202087923430776,1.1882210110545999,-2.5108912665750927,2.1468495081064773,0.8782502336334324,0
19,Bayesian,-1.0520501250968,0.8966828739289079,-2.973727355,0.64443879575,0.208,0
20,Oracle,-0.0322858313481661,1.4863152225978693,-2.9454101373136234,2.880838474617291,0.9826696650295444,0
20,Naive,-0.36755645726374747,1.5501725153542412,-3.405838757181924,2.6707258426544294,0.8125739307807174,0
20,StdRC,-0.3968313393677141,1.6736395820618728,-3.677104643309653,2.883441964574225,0.8125739307807172,0
20,GRC,-0.32452241147922983,1.6293870171635854,-3.518062281997004,2.8690174590385444,0.842131014324609,0
20,Bayesian,-1.1828503065095002,1.0022930466690003,-3.3210024474999997,0.71195229975,0.224,0
21,Oracle,-1.5666268648947592,1.1552916873617516,-3.8309569637623,0.6977032339727818,0.1750850300520843,0
21,Naive,-1.8010994659802793,1.1094754375332703,-3.975631365277308,0.37343243331674913,0.10450834564667448,0
21,StdRC,-1.931487232952927,1.1897941692543024,-4.2634409537071125,0.40046648780125915,0.10450834564667448,0
21,GRC,-1.8851868060886945,1.1682060474066904,-4.174828585527699,0.40445497335030955,0.10658272314690272,0
21,Bayesian,-1.2106523903512,0.875545009912054,-2.839391665,0.6213389394999995,0.172,28
22,Oracle,-1.89012544480355,1.475882142036115,-4.782801288620164,1.002550399013064,0.2003078247661094,0
22,Naive,-1.5848730919535623,1.4139692972734679,-4.356201989854968,1.1864558059478438,0.26234400756620513,0
22,StdRC,-1.6780592826289722,1.4971068135918797,-4.612334718278577,1.2562161530206322,0.26234400756620524,0
22,GRC,-1.6666024070798766,1.4811438408094493,-4.569590990989724,1.236386176829971,0.26049875630954605,0
22,Bayesian,-1.7361101588441,0.8722137128849075,-3.5044957325,0.01525975237499977,0.052,0
23,Oracle,-2.0998580721251603,1.0524539223902039,-4.1626298553978724,-0.03708628885244769,0.046020863238051456,0
23,Naive,-1.7094756634832273,0.9691893511122794,-3.60905188586304,0.1901005588965854,0.07776227139006671,0
23,StdRC,-1.778269875262779,1.0081923149445038,-3.7542905020440696,0.19775075151851174,0.07776227139006707,0
23,GRC,-1.7484137086081706,0.995816333167552,-3.700177856833312,0.20335043961697075,0.07912953021285353,0
